NamaProv,Cluster_Label,n_kabkot,Avg_Variance_Change,Avg_Probability
Aceh,High Success,12,6.530281885640984,0.9999922577549277
Aceh,Moderate Success,11,52.19268684167791,0.9999923640576998
Bali,High Success,8,-75.24498930403868,1.0
Bali,Moderate Success,1,-9.054016449417638,0.9999999910826194
Bangka Belitung,High Success,3,-83.10065450114224,0.9999999999999986
Bangka Belitung,Moderate Success,4,-50.57599657928975,0.9999995100136095
Banten,High Success,5,-94.70599072939292,1.0
Banten,Moderate Success,1,-98.6559333673874,1.0
Bengkulu,High Success,10,-75.63571476613262,0.9999999498671667
Gorontalo,High Success,5,-78.04261795610428,0.9999999654158029
Jakarta Raya,High Success,6,-74.1953879499208,0.9999999859086007
Jambi,High Success,10,-30.12165619879267,0.9999999603087402
Jambi,Moderate Success,1,-83.14362962436653,0.9999999999999742
Jawa Barat,High Success,17,-76.31227893628463,0.9999999988097389
Jawa Barat,Moderate Success,3,-90.61928785396749,0.9999999999688273
Jawa Tengah,High Success,26,21.316553116247917,0.9991399389818318
Jawa Tengah,Low Impact,1,418.69045630387427,0.5440639173693727
Jawa Tengah,Moderate Success,4,5.719712404678371,0.9999996142155129
Jawa Timur,High Success,28,-1.0105915307349014,0.9999999265084755
Jawa Timur,Low Impact,1,398.28723914739345,0.999999996246129
Jawa Timur,Moderate Success,2,-69.74386830897197,1.0
Kalimantan Barat,High Success,13,13.68912152538704,0.9997737040753153
Kalimantan Selatan,High Success,11,-48.31480234785145,0.9999998949783233
Kalimantan Selatan,Moderate Success,2,-85.08723876368865,0.9999999999998539
Kalimantan Tengah,High Success,12,-32.972254074184896,0.999999635437558
Kalimantan Tengah,Moderate Success,2,-65.73404466607495,0.9999999000553441
Kalimantan Timur,High Success,9,-35.07542710182942,0.9999985997192875
Kalimantan Utara,High Success,2,-94.80251566009535,1.0
Kepulauan Riau,High Success,5,-66.36960392599589,0.9999999966721678
Kepulauan Riau,Moderate Success,2,-71.6392455040305,0.9999991982836074
Lampung,High Success,13,-81.20163159113875,0.9999999974180986
Lampung,Moderate Success,1,-83.38071253434474,1.0
Maluku,High Success,10,-43.147468290395324,1.0
Maluku,Moderate Success,1,4.423672657156044,0.9999990603310006
Maluku Utara,High Success,7,2.0392101975857098,1.0
Maluku Utara,Low Impact,2,3020.0458413332667,0.9999999999999991
Nusa Tenggara Barat,High Success,9,-78.46981768940483,0.9999999732588248
Nusa Tenggara Timur,High Success,19,-72.50247751951153,0.9999999565962461
Nusa Tenggara Timur,Low Impact,1,-75.37210149595408,0.9927669912197458
Papua,High Success,6,-34.37855118544176,0.9999998791342556
Papua Barat,High Success,3,173.9964310312057,0.9998331653353443
Papua Barat,Low Impact,7,39225.53784226551,0.999999999999613
Papua Barat,Moderate Success,2,214.82074769563437,0.9999351750907226
Riau,High Success,11,-57.485522988213454,0.9999999452250072
Riau,Moderate Success,1,-89.76988048339463,0.9999999999788738
Sulawesi Barat,High Success,5,-69.40665592865733,0.9999999759517042
Sulawesi Selatan,High Success,21,-32.291257515113884,0.9999999790983112
Sulawesi Selatan,Low Impact,2,2604.0782217418273,0.9057159917512855
Sulawesi Selatan,Moderate Success,1,25.3372975015811,0.9999999997557079
Sulawesi Tengah,High Success,11,-74.52875648755978,1.0
Sulawesi Tenggara,High Success,12,-71.87920380482318,1.0
Sulawesi Utara,High Success,15,-73.70939562870511,0.9999998057967384
Sumatera Barat,High Success,17,-8.434343266066936,0.999988142659281
Sumatera Barat,Moderate Success,1,52.5919794481355,0.9999999999650955
Sumatera Selatan,High Success,13,-41.768170543866525,0.9999999779109383
Sumatera Selatan,Moderate Success,2,-43.1562840626647,0.9999999997956994
Sumatera Utara,High Success,24,-34.72993485269399,0.9999999975900243
Sumatera Utara,Low Impact,3,1048.8245949413247,0.9999939375315892
Sumatera Utara,Moderate Success,6,8.797967153549386,0.9999997563730304
Yogyakarta,High Success,5,-65.30434967894973,0.999999982058136
