KabKot,NamaProv,Produk,CV_Post-2,CV_Post-Intervention,CV_Pre-Intervention,Mean_Price_Post-2,Mean_Price_Post-Intervention,Mean_Price_Pre-Intervention,Variance_Post-2,Variance_Post-Intervention,Variance_Pre-Intervention,Variance_Change_Post1,Variance_Change_Post2,Price_Change_Post1,Pre_Event_Avg,Peak_Price,Post_Event_Avg,Days_to_Peak,Price_Spike,Recovery_Level,Cluster,Probability,Cluster_Label
Aceh Barat,Aceh,Minyak Goreng Curah,0.07931994687447538,0.032597338230329,0.03428394701420111,16592.409090909092,13136.5,15061.320002480157,1732142.91991342,183368.02941176505,266629.1955107132,-31.227325252010036,549.6448810099726,-12.779889160865023,15075.0,15300.0,12664.4,0.0,1.4925373134328357,-15.990713101160864,0,0.9999999424221578,High Success
Aceh Barat Daya,Aceh,Minyak Goreng Curah,0.08478788685665405,0.06499218169692672,0.04593262708745435,14921.636363636364,13003.5,15796.320002480157,1600665.2900432905,714237.6764705882,526446.7111357151,35.6714101090588,204.0507721266109,-17.680193880863776,15075.0,16828.0,12447.0,61.0,11.628524046434494,-17.432835820895523,3,0.9999999975471408,Moderate Success
Aceh Besar,Aceh,Minyak Goreng Curah,0.0842465931237997,0.06611609527818701,0.03076102034580488,15413.545454545454,14869.777777777777,15533.153335813491,1686202.7359307338,966547.8300653595,228307.79136884928,323.35297637907814,638.5655679207811,-4.270707587146676,15075.0,16074.0,13701.4,61.0,6.626865671641791,-9.111774461028196,3,0.9999179401430872,Moderate Success
Aceh Jaya,Aceh,Minyak Goreng Curah,0.044209270956068254,0.036900350929006495,0.02623332349552771,15727.954545454546,14299.944444444445,15365.486669146825,483471.854978354,278438.761437909,162479.76036686535,71.36827430642325,197.55820287198605,-6.934646768084075,15075.0,15748.0,13872.0,61.0,4.464344941956883,-7.980099502487562,3,0.9999999109654927,Moderate Success
Aceh Selatan,Aceh,Minyak Goreng Curah,0.07858625951808854,0.04477487468525058,0.04407561965600023,15486.5,12362.0,14814.486669146825,1481152.5476190504,306369.9999999998,426353.73164662777,-28.14182748752703,247.39992585468102,-16.554651699504788,15075.0,14571.0,11892.8,61.0,-3.343283582089552,-21.109121061359872,3,0.9999999005931436,Moderate Success
Aceh Singkil,Aceh,Minyak Goreng Curah,0.07967090890674708,0.03677888275994592,0.025240313047814798,15987.772727272728,12990.166666666666,15177.486669146825,1622465.5173160168,228258.26470588217,146753.745485912,55.5382889548086,1005.570090864747,-14.411608787155766,15075.0,15220.0,12636.0,61.0,0.9618573797678276,-16.17910447761194,3,0.9999992320276432,Moderate Success
Aceh Tamiang,Aceh,Minyak Goreng Curah,0.10116351819881851,0.08290878510712131,0.04828477815854589,14368.90909090909,11742.333333333334,15900.986669146825,2112980.2770562777,947785.1764705896,589479.393179365,60.78342812947161,258.4485397631782,-26.15342948423858,15075.0,16560.0,12738.8,0.0,9.850746268656717,-15.497180762852409,0,1.0,High Success
Aceh Tengah,Aceh,Minyak Goreng Curah,0.0675156401468654,0.04346439836630941,0.030239396310395877,15839.636363636364,13668.222222222223,15503.986669146825,1143665.9567099577,352932.3006535949,219802.6915424595,60.56777930101853,420.3148099253528,-11.84059613891311,15075.0,16049.0,13066.0,0.0,6.461028192371476,-13.32669983416252,0,0.9999999995757891,High Success
Aceh Tenggara,Aceh,Minyak Goreng Curah,0.03040527218598698,0.03517037899438265,0.039255998753361825,15140.136363636364,13450.0,15576.986669146825,211912.88528138518,223768.35294117642,373920.22710793593,-40.156125098687596,-43.32671251287662,-13.654673489319505,15075.0,16560.0,12991.2,0.0,9.850746268656717,-13.822885572139299,0,0.9999999999989599,High Success
Aceh Timur,Aceh,Minyak Goreng Curah,0.09162930612298846,0.041953853613652184,0.02439645786072356,16345.727272727272,13097.111111111111,15214.653335813491,2243248.0173160173,301921.98692810425,137777.3012646819,119.13768389764468,1528.1695146623224,-13.917781614635519,15075.0,15241.0,12487.2,30.0,1.101160862354892,-17.16616915422885,1,0.9999071646472093,High Success
